דִּ מְ י וֹן	di mˈ j on
אֶ לֶ גַ נְ טִי	el eˈ ga n ti
סֶלֶ רִי	ˈsele ri
לַעַ ל וֹ ב	laʔaˈ l o v
י וֹ מִי	j oˈ mi
לא ת ג ר	leʔ atˈ ge r
ל הת ע ד ן	le hitʔ aˈ de n
צַ פִ יד	tsaˈ f id
יְ שׁוֹר ֶ ת	jeˈ ʃor e t
שֵׁ הַ נ וֹ שֵׂא	ʃe ha n o ˈse
לִ שְׁ כָּ ה	li ʃˈ k a
ה ֲ כָ נָ ה	h a xaˈ n a
מ וֹפַ ע	m oˈf a
ל ה ש ת ד ך	le hi ʃ ta ˈde x
בִּי צ ִירָ תִיּ וּת	bi ts i ratiˈj ut
בִּי טָּ ח וֹן	bi taˈ x on
ל ה ז מי ן	le h azˈ mi n
ל ז מ ר	le zaˈ me r
ל ה יח פ ז	le h exaˈ fe z
תּ וֹ ף	ˈt o f
ל פ ג וש	l ifˈ g oʃ
ל ה ש ת פ ל	le hi ʃ ta ˈpe l
לְ הִ ת ְבַּ רֵ ג	le hi t baˈ re g
אַ ר וּ ס	aˈ r u s
אַ צ וּ לַה	a ts uˈ la
ל ה ח נ י ף	le h axaˈ n i f
א ופ ן	oˈ fa n
אִ יווְ ר וּ ר	i vˈ r u r
לְ הִ ת ְבַּ דֵ חַ	le hi t baˈ de ax
נְ י יָ ר	neˈ j a r
הִ תְ קַ שְׁ ר וּת	h it ka ʃˈ r ut
ש ל ש ו ם	ʃi lˈ ʃ o m
מ ת וו ה	mi t ˈv e
לִ צְ דּ וֹ ק	li tsˈ d o k
ס נ וו ר י ם	sa n veˈ r i m
לְ הֵי חַ שֵׁ ב	le he xaˈ ʃe v
צַ ל וּ ל	tsaˈ l u l
ל ה ק ש ו ת	le h akˈ ʃ o t
כּ ְ ג וֹן	k eˈ g on
הַ פְ רָ יָ ה	ha f raˈ j a
פִּי שְׁ פֵּ שׁ	pi ʃˈ pe ʃ
מַע ַ ר וֹ ךְ	maʔ aˈ r o x
שי ק ו ץ	ʃiˈ k u ts
שְׁ מ וֹ נֶ ה	ʃ m oˈ n e
אִי שׁ וּ ר	iˈ ʃ u r
קְ ב וּ צַה	k v u tˈsa
ס ג ור	sa ˈg ur
ל מי י ן	le maˈj e n
צִ מְ ח וֹ נִי	tsi m x oˈ ni
ל ג ר ור	l igˈ r or
לִ שְׁ ר וֹ ק	li ʃˈ r o k
שי כ נ ו ע	ʃi xˈ n u a
סִי ל וּ ק	siˈ l u k
לְ הִ ת ְרַ חֵ ב	le hi t raˈ xe v
חי ל ו ל	xiˈ l u l
ל ה נ מי ך	le h anˈ mi x
ק נ ק ן	k anˈ k an
ל ס ט ו ת	l isˈ t o t
לְ נַ גֵּ ר	le naˈ ge r
יָ דַ י יִ ם	jaˈ da j i m
מ ע יד ה	me ʔ iˈd a
סַ דַ ר	saˈ da r
עַ צְ מִי	a tsˈ mi
ל הת מו ט ט	le hit moˈ te t
עֵ זֶ ר	ˈe ze r
מו ע צ ה	mo ʔ atˈs a
לְ נַ תּ ֵ ץ	le naˈ t e ts
לְ הִ ינַ טֵ ל	le hi naˈ te l
מו צ ל ח	mu tsˈ la x
לְ דַ ד וֹת	le daˈ d ot
כָּ ב וֹד	kaˈ v od
יִ יח וּ דִי	j ix uˈ di
ט ר ף	ˈte re f
תַּ זְ רִי ם	ta zˈ ri m
מִ קְ דַ שׁ	mi kˈ da ʃ
ש ומ ע י ם	ʃ om ˈʔ i m
מ זור ג ג	me zur ˈga g
ה י ר י ו ן	h e raˈ j o n
לְ סַ בֵּ ךְ	le saˈ be x
הִ זְ דַּ ה וּת	hi z daˈ h ut
ד וּ דַא	d uˈ da
בְּ דִי יָּ ה	b diˈ j a
מַ טְ עֵ ן	ma tˈ ʔe n
הַ נַ אַה	ha naˈ ʔa
ח ר י שי	xa r iˈ ʃi
לְ אַ ח וֹת	le ʔaˈ x ot
בִּי ד וּ ד	biˈ d u d
שי ע ור	ʃiˈ ʔ ur
זְ כִ י רַה	z x iˈ ra
ל הת ק ר ש	le hit kaˈ re ʃ
לְ חַ פֵּ שׂ	le xaˈ pe s
קֶ שֶׁ ר	ˈke ʃe r
קַ מ וּ ר	kaˈ m u r
בְּ רֵ י רָ ה	b re ˈ r a
הַ ע ֲ תָ קָ ה	ha ʔ a taˈ k a
ה וֹ בַ לַה	h o vaˈ la
שְׁ אֵ לַה	ʃe ʔeˈ la
חָ בִי ת	xaˈ vi t
ת י מה ו ן	t i maˈh o n
הִ תְ עַ טּ ְשׁ וּת	hi tʔ a tˈ ʃ ut
ל ה יג ז ז	le hi g aˈze z
מִ שְׁ טַ רַה	mi ʃ taˈ ra
שֵׁ ן	ˈʃe n
מי נ ו י	miˈ n u j
י וֹמְ רַה	j omˈ ra
כ ו ל ל	k oˈ le l
סָ ב וּ ר	saˈ v u r
שכ ל	ˈsexe l
ל ש ו ח ח	le s oˈ x eax
ל כא ו ב	l ixˈʔ o v
לְ הַחְ כִּי ם	le haxˈ ki m
ל ה ז דה ו ת	le hi z daˈh o t
ט פי ח ה	t fiˈ x a
ל ה נ י ע	le h aˈn i a
לָ ג וּ ז	laˈ g u z
לְ הִ יז ַ קֵ ק	le h iz aˈ ke k
צְ פַ רְ דֵּ עַ	ts fa rˈ de a
הֶ כְ רֵ חַ	he xˈ re ax
סִ פְ רַה	si fˈ ra
ח ל טור ה	xa lˈ tur a
הַ שְׁ מָ דָ ה	ha ʃ maˈ d a
לְ שַׁ נּ וֹת	le ʃaˈ n ot
אִי כַּ ר	iˈ ka r
ל ה ש ק י ף	le h aʃˈ k i f
לְ הַ רְ עִי ב	le ha rˈ ʔi v
פּ ְ תִי ל	p ˈ ti l
לְ הִ תְ עוֹ רֵ ר	le hi tʔ oˈ re r
נֶ ג ֶ ף	ˈne g e f
לְ צַ י יֵ ן	le tsaˈ j e n
תּ ֵ שַׁ ע	ˈt e ʃ a
מַ שְׁ אָ ב	ma ʃˈ ʔa v
לְ חַ מְ צ ֵ ן	le xa m tˈs e n
ל ה פ ת י ע	le h afˈ t i a
מ ס ל ו ל	ma sˈ l u l
שֵׁ פֵ ל	ˈʃe fe l
לְ גַ נְ דֵ ר	le ga nˈ de r
מַ גִּ י עִי ם	ma gi ˈ ʔi m
רִ שְׁ עַה	ri ʃˈ ʔa
לְ תַ קְ שֵׁ ר	le ta kˈ ʃe r
בְּ מַ ט וּתַ א	be maˈ t ut a
ח ך	ˈxe x
ס וּ סַה	s uˈ sa
לַ גֵ שֵׁ ת	laˈ ge ʃe t
שִׁי פּ וּ ץ	ʃiˈ p u ts
ל הת נ וס ס	le hit n oˈse s
נִי צָּ ן	ni tˈsa n
ט י י ל ת	ta ˈj e le t
אִי שַׁה	iˈ ʃa
לא ו ם	leˈʔ o m
רִי בּ וֹן	riˈ b on
ל ל מו ד	l ilˈ mo d
ב ק ב ו ק	b akˈ b u k
לְ תַ כְ נֵ ן	le ta xˈ ne n
לְ קַ לֵּ חַ	le kaˈ le ax
לַ ד וֹ ם	laˈ d o m
לְ הִ יטַ גֵ ן	le hi taˈ ge n
ש מו נה	ʃ moˈ ne
צו ר ך	tˈso re x
מי ו ן	miˈj u n
עִ נְ י יָ ן	i nˈ j a n
ח ס כ ן	xa sˈ x an
ר ש	ˈra ʃ
חִ ינַ ם	xi ˈna m
א פר ס ק	a farˈ se k
עֵ גְ לַה	e gˈ la
רְ דִי פַה	re diˈ fa
ל הת ע וו ת	le hitʔ aˈ ve t
שִׁי ת וּ ף	ʃiˈ t u f
עַ קַ ר וּת	a kaˈ r ut
לִ שְׁ א וֹ ף	li ʃˈ ʔ o f
הַ כְ חַ דַה	ha x xaˈ da
מְ נ וֹ רַה	me n oˈ ra
חֵ י רֵ שׁ	xe ˈ re ʃ
א וּ כְלוּסִ יָּ ה	u xl usiˈ j a
לְ הִ ישַׁ אֵ ף	le h iʃaˈ ʔe f
מָ ל וּ חַ	maˈ l u ax
נַ חֲ לָ ה	na xaˈ l a
צ פי י ה	ts fiˈ j a
לְ הִ תְ אַ בֵּ ק	le hi tʔ aˈ be k
ת ק ל יט ור	ta k l iˈt or
כי ס א	kiˈ s e
לְ שׁוֹר ֵ ר	le ʃoˈr e r
לְ הִ ת ְחַ ר וֹת	le hi t xaˈ r ot
ש וש נ ה	ʃ oʃ aˈn a
מַע ַ מַ ת	maʔ aˈ ma t
עִי ד וּ ד	iˈ d u d
שי שי	ʃiˈ ʃi
נַה וּ ג	naˈh u g
זִ י קּ וּ ק	zi ˈ k u k
לְ הַ בְ טִי חַ	le ha vˈ ti ax
לִ רְ עוֹ ב	li rˈ ʔo v
מי ד ה	miˈ d a
עַפְ עַ ַ ף	af ˈʔ a f
כַּ מּ וּת	kaˈ m ut
לִ סְ ר וֹ ק	li sˈ r o k
פ ש ע	ˈpe ʃ a
ד וּ מְ דְ מַ נִי ת	d u m de maˈ ni t
ית ר ה	jitˈ r a
נ ש ק	ˈne ʃe k
מ ק ו ט ע	me k uˈ t a
לְ הַ פְ גִ י עַ	le ha f ˈg i a
ה ד מי ה	h ad maˈj a
לְ הָ בִי ס	le haˈ vi s
שְׁ טִי פָ ה	ʃ tiˈ f a
ת ח ל ופ ה	ta x l uˈf a
רָ א וּ י	raˈ ʔ u j
א י פ ו ל	i ˈ p u l
לְ הִ ימַ הֵ ל	le hi maˈ he l
בְּ ו וַ דַּ א י	be v aˈ d a j
ל נ וס	l aˈn us
ט יט	ˈt it
לְ הַ תִּ י ר	le haˈ t i r
לְ הִ ת ְחַ נֵּ ךְ	le hi t xaˈ ne x
ע ֲדִ י	aˈ d i
סֵמֵ ךְ	ˈseme x
ל ק ז ז	le kaˈ ze z
שִׁ י קּ וּ ץ	ʃi ˈ k u ts
ט ו ב ה	t oˈ v a
בר י כ ה	bre ˈ x a
כּ ְ ת וֹ בֵ ת	k ˈ t o ve t
רַע וּעַ	raˈʔ ua
סַ מְ מָ ן	sa meˈ ma n
מְ צ וּ בְ רַ ח	me ts u vˈ ra x
בְּ סֵ דֶ ר	beˈ se de r
מְ גִ י לָּ ה	me gi ˈ l a
צַ לְ בַ ן	tsa lˈ va n
נ ט ו י	na ˈt u j
לְ צַ נֵ ן	le tsaˈ ne n
מ ס ו ע	ma ˈs o a
לְ הִ תְ עַ צֵּ ם	le hi tʔ a tˈse m
לָ ע וּ ץ	laˈ ʔ u ts
מִ טְ רִי יָּ ה	mi t riˈ j a
ל נ ק ו ע	l inˈ k o a
כּ וֹ כָ ב	k oˈ xa v
לְ הִ תְ גַּ בֵּ ר	le h it gaˈ be r
גַּ ל	ˈga l
ש ח פ ת	ʃ aˈxe fe t
לְ הִ י בָּ הֵ ל	le h i baˈ he l
לְ עַ מֵּ ד	le ʔaˈ me d
לְ הִ ת ְלַ קּ ֵ חַ	le hi t laˈ k e ax
לְ הֵי אַ גֵ ר	le he ʔaˈ ge r
לְ שַׁ כֵּ ן	le ʃaˈ ke n
לְ ר וֹ שֵׁ שׁ	le r oˈ ʃe ʃ
בּ וּ ז	ˈb u z
ל ה לא י ם	le h alˈʔ i m
פ גי ש ה	p giˈ ʃ a
ל ה י ע צ ם	le h e ʔ atˈse m
אַ רְ גַ ז	a rˈ ga z
כּ ְנֵ סִי יָּ ה	k ne siˈ j a
ר פ ש	ˈre fe ʃ
לַע ֲ ב וֹד	laʔ aˈ v od
סַה ֲ ר וֹן	sah aˈ r on
לְ הִ יס ָּ לֵ ל	le h is aˈ le l
שָׁ מִי ר	ʃaˈ mi r
ל הת ק דר	le hit kaˈ der
הַ כַּ לְ כָּ לָ ה	ha ka l kaˈ l a
לִ שְׁ תּ וֹ ק	li ʃˈ t o k
עֵ רֵ ב	ˈe re v
לְ הִ ית ָּ לֵ שׁ	le h it aˈ le ʃ
נ וכ ח ות	n oxeˈ x ut
נ וֹ שַׁ ן	n oˈ ʃa n
לְ הִ שְׁתַּ ע ְשׁ ֵ עַ	le hi ʃta ʔ aˈʃ e a
סֵ לַע	ˈse la
לְ הִ ת ְרַ שֵׁ ל	le hi t raˈ ʃe l
לָ ק וּ ץ	laˈ k u ts
ל הת ח ר ש	le hit xa ˈre ʃ
לְ עַ קּ ֵ ל	le ʔaˈ k e l
לְ הִ ת ְמַ צּ וֹת	le hi t ma tˈs ot
ש נ ה	ʃ aˈn a
כל י ל	kaˈl i l
מְ לָ פְ פ וֹן	me la feˈ f on
לְ הִ ת ְקַ צ ֵ ר	le hi t k atˈs e r
לְ הַ שְׁ ר וֹת	le ha ʃˈ r ot
כי ע ור	kiˈ ʔ ur
לְ פָ רֵ ט	le faˈ re t
חַ תִי ךְ	xaˈ ti x
הִ ת ְחַ מּ ְ מ וּת	hi t xa m eˈ m ut
ש ק י ע ה	ʃ k iˈ ʔ a
לְ הַ זִ י ל	le haˈ z i l
צַ יִ ד	tˈsa ji d
גִ זְ עַ נ וּת	gi zʔ aˈ n ut
ת ש וא ה	t s uˈʔ a
ל וֹ חְ מָ ה	l o xˈ m a
לְ כ ַ תּ ֵ ר	le x aˈ t e r
קִי בּ וֹ לֶ ת	kiˈ b o le t
בָּ מָ ה	baˈ m a
שַׁי יַ ךְ	ʃaˈj a x
לֵא ֵ ז וֹר	leʔ eˈ z or
טַ מ וּ ן	taˈ m u n
הֵ ן	ˈhe n
לְ הִ יס וֹ ב	le hi ˈs o v
רֶ מֶ שׂ	ˈre me s
שָׂ ר וּ ךְ	saˈ r u x
לְ הַ ע ֲ סִי ק	le ha ʔ aˈ si k
ל רצ ו ח	l irtˈs o ax
עָ ל וּ ל	aˈ l u l
ל צ ר ו ב	l itsˈ r o v
בְּ עִי טַה	be ʔiˈ ta
בִּי ל וּ שׁ	biˈ l u ʃ
שַׁ מָּ א וּת	ʃa maˈ ʔ ut
מַע ַ רַ כַה	maʔ a ra ˈxa
ר י ר	ˈr i r
ת חז ו ק	t ixˈz u k
מְ ח וּ גַה	me x uˈ ga
ל פ ח ו ז	l ifˈ x o z
מְ ז וּ כָּ ךְ	me z uˈ ka x
אִ שְׁ פּ וּ ז	i ʃˈ p u z
א וֹר ֶ ךְ	ˈ or e x
ה גה	ˈh ege
ט ב ו ע	ta ˈv u a
לְ הִ י בָּ לֵ עַ	le h i baˈ le a
חֲ טִי פָ ה	xa tiˈ f a
ע ש ש ת	aˈ ʃe ʃe t
ל נ ש ף	le na ˈʃe f
גֶּ שֶׁ ם	ˈge ʃe m
סִ פְ רִי יָּ ה	si f riˈ j a
לְ הֵי אָ חֵ ז	le he ʔaˈ xe z
טֶ כְ נ וֹ ל וֹ גְ יָ ה	te x n oˈ l o g j a
כ ר ס	kaˈ re s
יַ קִּ י ר	jaˈ k i r
לְ הַ פְ עִיל	le ha fˈ ʔil
שׁ וּת ָּ פ וּת	ʃ ut aˈ f ut
ר י ב ו ע	r iˈ b u a
דַ ל וּ ק	daˈ l u k
ל ק ב ל	le k aˈbe l
צְ ו וַ אַה	ts v aˈ ʔa
לְ הַ בְ הִ י ר	le ha vˈ h i r
ל ר ת ק	le raˈ te k
לִ פְ ס וֹ ק	li fˈ s o k
לַ חֲ ר וֹת	la xaˈ r ot
ל הת פ ל ץ	le hit pa ˈle ts
מְ ל וּ כָ ה	me l uˈ x a
קִי בּ וּעַ	kiˈ b ua
לְ בַ י יֵ ם	le vaˈ j e m
ל הת מ ק צ ע	le hit ma k tˈse a
לְ דַ מְ י יֵ ן	le da mˈ j e n
טְ י וּ טָ ה	t j uˈ t a
לְ פַ תּ ֵ חַ	le faˈ t e ax
ב ינ לא ומי	b en le ʔuˈmi
ל נ ק ר	le na ˈke r
ל נ ט ר ל	le na t ˈre l
לְ אַ י יֵ ר	le ʔaˈ j e r
אַ י יָּ ל	a ˈ ja l
צַ רְ כ ַ נ וּת	tsa r x aˈ n ut
מְ לָ א כָ ה	me la ˈ x a
הת ר ח ש ות	hit r axaˈ ʃ ut
רֵ ע וּת	reˈ ʔ ut
חַ ם	ˈxa m
לִ תְ כּ וֹ ף	li tˈ k o f
הַ נְ הַ לַה	ha n haˈ la
ל ח ר ו ך	la xa ˈr o x
לִנְ ד וֹ ב	linˈ d o v
ל ש ר ו ק	l iʃˈ r o k
מִ זְ נ וֹן	mi zˈ n on
צ נ ע	tˈse n a
מַ כְ שֵׁ לַה	ma x ʃeˈ la
פֵּ טְ ר וֹ זִ י לְ יַה	pe t r oˈ z i l ja
ל כ וו ת	l ixˈ vo t
לְ הַ עַ דִי ף	le ha ʔaˈ di f
מְ הַ מֵ ם	me haˈ me m
י ית כ ן	j ita ˈxe n
גַ ר וּ שׁ	gaˈ r u ʃ
הַ רְ צַ אַה	ha r tsaˈ ʔa
לָ נ וּ ד	laˈ n u d
מְ ב וֹ עָ ת	me v oˈ ʔa t
ל כ ב ד	le x aˈbe d
אַ חְ רָ אִי	a x raˈ ʔi
לְ הֵי אָ נֵ חַ	le he ʔaˈ ne ax
כַּ רְ טִי סִ יָּ ה	ka r ti siˈ j a
כִּי תּ וּ ב	kiˈ t u v
ל ה ינ כ ר	le hi na ˈxe r
תִּ מְ סָ ח	ti mˈ sa x
חֲ קִי קָ ה	xa kiˈ k a
ל ה יח ר ט	le h exaˈ re t
ל ג ז ו ז	l igˈ z o z
עַ ז	ˈa z
יס ע ור	jasˈ ʔ ur
מְ כ וֹ נִי ת	me x oˈ ni t
לְ הֵי רָ עֵ שׁ	le he raˈ ʔe ʃ
לְ טַ מֵא	le taˈ me
לָ שִׂ י חַ	laˈ s i ax
ת מ ר י ץ	ta m ˈr i ts
רְ עַ בְ תַ ן	re ʔa vˈ ta n
ס מי ך	sa ˈmi x
ב מ ק ו ם	b imˈ k o m
מ ש ג ל	mi ʃ ˈga l
לְ זַ גֵ ג	le zaˈ ge g
לְ חַ טֵא	le xaˈ te
מ וֹ לֵ דֵ ת	m oˈ le de t
שֵׁ כּ ְ בַ ר	ʃe k ˈ va r
דֵּ י ר וּ ג	de ˈ r u g
לְ סַ דֵּ ק	le saˈ de k
הִ שְׁתַּ לְ שְׁ ל וּת	hi ʃta l ʃeˈ l ut
חִ י סּ וּ ן	xi ˈ s u n
סְ תַ ם	sˈ ta m
כָּ פ וּ י	kaˈ f u j
ל נ ש ק	le na ˈʃe k
א ת ו ן	aˈ t o n
לְ הִ שְׁ תַ קֵ עַ	le hi ʃ taˈ ke a
מִ כְ תַ ם	mi xˈ ta m
לְ הַ שְׁ פִּי ל	le ha ʃˈ pi l
ר שי מה	re ʃiˈ ma
חַ שׂ וּ ךְ	xaˈ s u x
ע סי ס	aˈ si s
לִ רְ ח וֹ ב	li rˈ x o v
לְ שַׁ כְ נֵ עַ	le ʃa xˈ ne a
לְ בַ י יֵּ שׁ	le va ˈ je ʃ
ס נ ט ר	sa nˈ te r
ל הת ע ב ר	le hitʔ a ˈbe r
בִּי טּ וּ י	bi ˈt u j
מ ק ור י	me k oˈr i
ל ה י מ ק	le hi ˈ me k
בִּ רְ י וֹן	bi rˈ j on
לְ הִ י לָּ הֵ ב	le h i laˈ he v
לְ הִ תְ גַ נְ דֵ ר	le h it ga nˈ de r
זֵרֵ ם	ˈzere m
לְ הַ שְׁ חִ י ר	le ha ʃˈ x i r
ת וּ כ ַ ל	t uˈ x a l
לְ שַׁ בֵּ חַ	le ʃaˈ be ax
פר ד	ˈpere d
חַ נִי קַה	xa niˈ ka
לְ הֵי אָ גֵ ד	le he ʔaˈ ge d
מִ שְׁ טָ רָ ה	mi ʃ taˈ r a
ל ב ת ק	le v aˈte k
ל ה ש ת ר ר	le hi s ta ˈre r
נ יג ו ד	n iˈg u d
לִ פְ צוֹ ר	li f tˈso r
נַ גִ י שׁ	na ˈg i ʃ
ל ס ל ס ל	le sa lˈ se l
דִי קְ ל וּ ם	di kˈ l u m
מ וֹ ע ֳ מָ ד	m o ʔ oˈ ma d
ל ה מי ר	le h aˈmi r
ל פר ו ש	l ifˈr o s
לְ מָ אֵ ן	le maˈ ʔe n
מ נה ג	m inˈha g
הַ סְ רָ טָ ה	ha s raˈ t a
לְ מַ שּׁ ֵ שׁ	le maˈ ʃ e ʃ
א וד ו ת	o ˈd o t
יְ לָ לָ ה	je laˈ l a
מֵ שֵׁ ק	ˈme ʃe k
מָ צוֹ ד	ma tˈso d
לְ תַ רְ גֵ ל	le ta rˈ ge l
ק ל יט	kaˈ l it
ל ה סת ל ב ט	le hi sta l ˈbe t
לַ ד וּ ן	laˈ d u n
הִ תְ נַ ס וּת	h it naˈ s ut
מִ סְ פַּ רַה	mi s paˈ ra
חַ ל וּ ץ	xaˈ l u ts
מ וּעַ ד	m uˈʔa d
אִי מּ וּ ץ	iˈ m u ts
לְ הִ ת ְקַ דֵ ם	le hi t kaˈ de m
צִי וּ ן	tsiˈj u n
לְ הִ ת ְמָ רֵ חַ	le hi t maˈ re ax
לְ הִ י בָּ צ ֵ עַ	le h i ba tˈs e a
ת וֹ כִ ית	t oˈ x it
צָ רָ ה	tsaˈ r a
לְ חַ קּ וֹת	le xaˈ k ot
ד חי י ן	da xˈj a n
חִ י פּ וּ שׂ	xi ˈ p u s
לִי דֵ י	lijˈ de j
לִ גְ מ וֹ ל	li gˈ m o l
ל ה ש ת ז ף	le hi ʃ ta ˈze f
לְ הִ תְ נַ י יֵ ד	le h it naˈ j e d
לְ חַ לֵּ ל	le xaˈ le l
אַ רִי כ וּת	a riˈ x ut
נְ ב וּ אָ ה	ne v uˈ ʔ a
לְ הִ י יַ ר וֹת	le hi j aˈ r ot
ש מ ן	ˈʃe me n
לְ הַ אַ פִ י ל	le ha ʔaˈ f i l
מ פ ץ	ma ˈpa ts
לְ הַ רְ שִׁי עַ	le ha rˈ ʃi a
ל פר ש	le faˈre ʃ
ר וֹ מַ ח	ˈr o ma x
לְ הִ תְפַּ קּ ֵ ד	le hi tpaˈ k e d
דָּ ת	ˈda t
הַ פְ חָ תָ ה	ha f xaˈ t a
מַ שְׁ אֵ בָ ה	ma ʃ ʔeˈ v a
הִ תְ נַ גְ ד וּת	h it na gˈ d ut
תִּ י רָ ס	ti ˈ ra s
ע די	aˈ di
מו ּ ם	ˈm u m
ל ה יט ל ט ל	le hi ta lˈ te l
לְ הַט וֹת	le haˈt ot
אֵ שֵׁ ךְ	ˈe ʃe x
יִ תַ כֵ ן	ji taˈ xe n
רָ ח וֹ ק	raˈ x o k
לְ הִ ילַ קֵ ט	le hi laˈ ke t
ל ה יח ש ד	le h exaˈ ʃe d
לָ ד וּ ן	laˈ d u n
צי פור	tsiˈ por
מַע ַ דֵ ר	maʔ aˈ de r
לְ הַ קְ לִי ק	le ha kˈ li k
עַ נַ ו וַה	a naˈ v a
לְ שַׁ י יֵּ ךְ	le ʃa ˈ je x
לע ק ם	le ʔaˈke m
אַ ח וּ זַה	a x uˈ za
ה ֲ פָ קָ ה	h a faˈ k a
מַע ַ רַ בִי	maʔ a raˈ vi
לַ נ וּ ם	laˈ n u m
לְ הַ נְ מִי ךְ	le ha nˈ mi x
ל צ נ ו ף	l itsˈ n o f
לָ הֶ ם	laˈ he m
מצ וו ה	mits ˈv a
תִּ י פְ ק וּ דִי	t i f k uˈ di
א וֹר ֶ ז	ˈ or e z
ע י ר ב ו ב	i r ˈ b u v
ל ה כא י ב	le h axˈʔ i v
לְ הַלְ א וֹת	le halˈ ʔ ot
ע צו מה	a tsuˈ ma
ש ל י ית ן	ʃi l j aˈt an
פ ח מי מה	pa x meˈ ma
ל ה י א ר ג	le h e ʔ aˈre g
מְ ת וּ לְ תָּ ל	me t u lˈ ta l
מ ש ח ק	mi s ˈxa k
ל הת ל ו נ ן	le hit l o ˈne n
ל ה נ גי ש	le h anˈ gi ʃ
ל ד ש ן	le daˈ ʃe n
מ ט ר ד	mi t ˈra d
לְ הִ ת ְחַ ווּ ֵ ר	le hi t xa ˈv e r
לְ הַ שְׁ בִּי ר	le ha ʃˈ bi r
ל נ ע נ ע	le na ʔ aˈne a
לְ הִ ינַ עֵ ר	le hi naˈ ʔe r
מ דע ן	ma dˈʔ an
ש מ נ מ ן	ʃ ma nˈ ma n
תָּ א	ˈt a
לַעַ ק וֹ ב	laʔaˈ k o v
כּ וֹת ֵ ל	ˈ kot e l
ע ינ ב	eˈ na v
לְ הִ יצ ָּ פ וֹת	le h its aˈ f ot
מֶ תַ ח	ˈme ta x
חִ י ו וַּ ר וֹן	x i v aˈ r on
לְ הִ סְ תַּ לְ בֵּ ט	le hi s ta lˈ be t
פִּ תְ גַ ם	pi tˈ ga m
לְ הִ יתַ קֵ ף	le hi taˈ ke f
לְ הֵי רָ דֵ ם	le he raˈ de m
לְ בַ י יֵּ ת	le va ˈ je t
ל ק ט ו ל	l ikˈ t o l
לְ י יַ בֵּא	le j aˈ be
שַׁ מַ יִ ם	ʃaˈ ma ji m
הַ דְ רָ כָ ה	ha d raˈ x a
לְ הַ סְ דִּ י ר	le ha sˈ d i r
ל הת ע כ ב	le hitʔ a ˈke v
לְ הַ טִי ף	le haˈ ti f
תִּ יד ְ ר וּ ךְ	t id ˈ r u x
פִּי וּ ס	piˈj u s
נֶ בֶ ל	ˈne ve l
ב כי י ן	b axˈj a n
תַ ו וִ ית	ta ˈ v it
לַ חֲ ל וֹת	la xaˈ l ot
כִּי סֵ א	ki ˈs e
מִ כְ סָ ה	mi xˈ s a
ת ז ה	ˈte z a
זִ י מָּ ה	zi ˈ m a
לְ הִ תְ בּ וֹד ֵ ד	le h it b oˈd e d
ד ת י	daˈ t i
לָ ח וֹ ף	laˈ x o f
יָ חֵ ף	jaˈ xe f
ל ד מ ם	le daˈ me m
לְ הִ שְׁתַּ חֲ ו וֹת	le hi ʃta xaˈ v ot
לְ הַ שְׁ מִי עַ	le ha ʃˈ mi a
שְׁ קִי עַה	ʃ kiˈ ʔa
לְ הִ תְ נַ שּׁ ֵ ם	le h it naˈ ʃ e m
מ וּ זְ כָּ ר	m u zˈ ka r
שִׁ לְ ט וֹן	ʃi lˈ t on
ל ב וד ד	le v oˈde d
לְ כַה ֵ ן	le xaˈh e n
ס ג ו ל	sa ˈg o l
ל וכ ל	l uˈxa l
קַ צַ ב	ka tˈsa v
מְ הַ גֵ ר	me haˈ ge r
צָ חוֹר	tsaˈ xor
שִׁ י שִּׁי	ʃi ˈ ʃi
קע י ר ה	ke ʔ i ˈra
פּ ְ גָ ם	p ˈ ga m
לְ הַ חֲ רִי ף	le ha xaˈ ri f
לְ כ ַ זֵ ב	le x aˈ ze v
ל ה ש מי ץ	le h aʃˈ mi ts
לִ סְ ל וֹד	li sˈ l od
הַ גְ זָ מָ ה	ha g zaˈ m a
ה ֲדַ ס	h aˈda s
טָ ע וּ ן	taˈ ʔ u n
טַ ף	ˈta f
הָ אַ חְ רָ י וּת	ha ʔa x raˈ j ut
ל גה ור	l igˈh or
ח וש ש נ י	x oʃe ʃ aˈn i
שׁ וֹ נֶ ה	ʃ oˈ n e
ב וש ה	b uˈʃ a
לְ הִ י בָּ ד וֹת	le h i baˈ d ot
מִ כְ לָ לָ ה	mi x laˈ l a
ל צ מו ח	l itsˈ mo ax
אַ סִי ר	aˈ si r
לְ הִ תְ פָּ אֵ ר	le h it paˈ ʔe r
לִ רְ עוֹ ד	li rˈ ʔo d
ל הת ע מ ל	le hitʔ aˈ me l
ח ג ור ה	xa g oˈr a
חֲ נִי קָ ה	xa niˈ k a
שֶׁ קֶ ף	ˈʃe ke f
מ ס ט יק	ˈma s t ik
ל ה ק ט י ן	le h akˈ t i n
זְ כ וּת	zˈ x ut
זְ רִי חָ ה	z riˈ x a
ג וֹ בַה	ˈg o va
שְׁ בִי ל	ʃˈ vi l
מִי לּ וּ ט	miˈ l u t
אַ חוֹר	aˈ xor
לַעַ נ וֹד	laʔaˈ n od
בִּי שׁ וּ ל	biˈ ʃ u l
לִ תְ מ וֹ ךְ	li tˈ m o x
מִ זְ רַ קַה	mi z raˈ ka
